iter	Passed	Remaining
406	6391	9312
407	6403	9290
408	6415	9270
409	6427	9249
410	6439	9228
411	6451	9207
412	6463	9186
413	6475	9166
414	6488	9146
415	6500	9125
416	6512	9104
417	6524	9084
418	6536	9064
419	6550	9046
420	6564	9028
421	6584	9018
422	6600	9003
423	6613	8984
424	6627	8966
425	6640	8947
426	6654	8929
427	6667	8910
428	6679	8890
429	6691	8870
430	6704	8850
431	6718	8833
432	6731	8814
433	6746	8797
434	6758	8778
435	6771	8758
436	6783	8739
437	6795	8719
438	6807	8699
439	6819	8679
440	6832	8660
441	6844	8640
442	6855	8620
443	6867	8600
444	6879	8580
445	6891	8560
446	6903	8540
447	6915	8520
448	6926	8500
449	6940	8482
450	6952	8462
451	6965	8445
452	6977	8425
453	6990	8406
454	7001	8386
455	7013	8367
456	7025	8347
457	7037	8328
458	7049	8308
459	7060	8288
460	7072	8269
461	7084	8250
462	7096	8230
463	7108	8211
464	7120	8192
465	7135	8177
466	7148	8158
467	7159	8138
468	7171	8119
469	7183	8100
470	7195	8081
471	7207	8063
472	7221	8045
473	7233	8026
474	7245	8007
475	7256	7988
476	7269	7970
477	7281	7951
478	7294	7934
479	7307	7916
480	7320	7899
481	7332	7880
482	7345	7862
483	7357	7844
484	7370	7826
485	7382	7808
486	7396	7791
487	7409	7773
488	7421	7755
489	7433	7736
490	7445	7718
491	7458	7700
492	7472	7684
493	7485	7666
494	7497	7648
495	7511	7633
496	7525	7616
497	7541	7602
498	7555	7585
499	7569	7569
500	7581	7551
501	7595	7535
502	7611	7520
503	7625	7504
504	7640	7488
505	7653	7471
506	7664	7453
507	7677	7435
508	7689	7417
509	7701	7399
510	7715	7383
511	7727	7365
512	7740	7347
513	7752	7329
514	7763	7311
515	7776	7293
516	7788	7276
517	7800	7258
518	7812	7240
519	7824	7222
520	7838	7206
521	7852	7190
522	7864	7173
523	7876	7155
524	7889	7137
525	7901	7120
526	7913	7102
527	7926	7085
528	7940	7069
529	7952	7052
530	7964	7034
531	7976	7016
532	7988	6999
533	8002	6983
534	8015	6967
535	8028	6950
536	8040	6932
537	8053	6915
538	8065	6898
539	8079	6882
540	8091	6865
541	8104	6848
542	8116	6831
543	8129	6814
544	8141	6797
545	8154	6780
546	8167	6763
547	8180	6747
548	8192	6729
549	8204	6712
550	8216	6695
551	8231	6680
552	8243	6663
553	8256	6646
554	8269	6630
555	8282	6613
556	8294	6597
557	8306	6579
558	8319	6563
559	8338	6551
560	8354	6537
561	8367	6521
562	8380	6505
563	8394	6489
564	8406	6472
565	8422	6458
566	8437	6443
567	8450	6426
568	8462	6410
569	8476	6394
570	8488	6377
571	8502	6362
572	8515	6346
573	8528	6329
574	8541	6313
575	8555	6297
576	8568	6281
577	8580	6264
578	8593	6248
579	8606	6231
580	8618	6215
581	8630	6198
582	8643	6182
583	8655	6165
584	8668	6149
585	8680	6132
586	8692	6115
587	8704	6099
588	8717	6083
589	8729	6066
590	8744	6051
591	8756	6035
592	8769	6018
593	8782	6002
594	8794	5986
595	8806	5969
596	8818	5952
597	8830	5936
598	8844	5921
599	8856	5904
600	8868	5887
601	8880	5870
602	8891	5854
603	8903	5837
604	8915	5820
605	8927	5804
606	8938	5787
607	8950	5770
608	8962	5754
609	8974	5737
610	8985	5721
611	8997	5704
612	9009	5687
613	9021	5671
614	9033	5655
615	9045	5638
616	9057	5622
617	9069	5605
618	9081	5589
619	9093	5573
620	9105	5557
621	9117	5540
622	9129	5524
623	9142	5508
624	9154	5492
625	9169	5478
626	9182	5462
627	9195	5446
628	9210	5432
629	9226	5418
630	9241	5404
631	9255	5389
632	9267	5373
633	9281	5357
634	9294	5342
635	9306	5326
636	9318	5310
637	9331	5294
638	9344	5279
639	9356	5263
640	9368	5247
641	9381	5231
642	9394	5215
643	9409	5201
644	9421	5185
645	9433	5169
646	9446	5153
647	9458	5137
648	9471	5122
649	9484	5106
650	9496	5090
651	9508	5074
652	9520	5059
653	9533	5043
654	9545	5028
655	9558	5012
656	9569	4996
657	9581	4980
658	9593	4964
659	9605	4948
660	9621	4934
661	9634	4919
662	9646	4903
663	9658	4887
664	9670	4871
665	9681	4855
666	9693	4839
667	9705	4823
668	9719	4808
669	9732	4793
670	9744	4777
671	9759	4763
672	9771	4747
673	9783	4732
674	9795	4716
675	9807	4700
676	9819	4685
677	9835	4670
678	9850	4656
679	9864	4642
680	9878	4627
681	9891	4611
682	9904	4596
683	9916	4581
684	9930	4566
685	9942	4550
686	9953	4534
687	9965	4519
688	9977	4503
689	9988	4487
690	10001	4472
691	10015	4457
692	10026	4441
693	10038	4426
694	10050	4410
695	10062	4395
696	10074	4379
697	10087	4364
698	10099	4348
699	10111	4333
700	10122	4317
701	10134	4302
702	10147	4287
703	10158	4271
704	10170	4255
705	10182	4240
706	10194	4224
707	10205	4209
708	10217	4193
709	10229	4178
710	10241	4162
711	10252	4147
712	10266	4132
713	10278	4117
714	10290	4101
715	10302	4086
716	10314	4070
717	10326	4055
718	10338	4040
719	10352	4026
720	10365	4011
721	10380	3996
722	10393	3982
723	10408	3967
724	10421	3952
725	10436	3938
726	10449	3924
727	10462	3909
728	10475	3894
729	10488	3879
730	10501	3864
731	10514	3849
732	10527	3834
733	10541	3820
734	10554	3805
735	10568	3790
736	10581	3776
737	10594	3761
738	10609	3747
739	10623	3732
740	10636	3717
741	10650	3703
742	10664	3688
743	10678	3674
744	10693	3660
745	10708	3646
746	10722	3631
747	10736	3617
748	10750	3602
749	10766	3588
750	10781	3574
751	10797	3560
752	10813	3547
753	10828	3532
754	10842	3518
755	10857	3504
756	10871	3489
757	10886	3475
758	10900	3461
759	10915	3446
760	10929	3432
761	10944	3418
762	10959	3404
763	10973	3389
764	10988	3375
765	11003	3361
