iter	Logloss
0	0.4796192178
1	0.3285211904
2	0.2475981375
3	0.1770419073
4	0.129770046
5	0.103714753
6	0.07801977039
7	0.06270940691
8	0.05474301523
9	0.04979373485
10	0.04325685592
11	0.03840130668
12	0.03537014986
13	0.03114942726
14	0.02636512936
15	0.02401251678
16	0.02165447536
17	0.0202725047
18	0.01900823069
19	0.01762089697
20	0.01659784611
21	0.01581015774
22	0.01509882031
23	0.01404494115
24	0.01349131599
25	0.01316916403
26	0.01261811728
27	0.01191147972
28	0.01152234444
29	0.01127405973
30	0.01059405516
31	0.01040715539
32	0.01022024501
33	0.01005525015
34	0.009823102249
35	0.00938095918
36	0.009302739354
37	0.009159194986
38	0.009054122719
39	0.008917898635
40	0.008562971142
41	0.008327400369
42	0.008083995813
43	0.007990808776
44	0.007908836142
45	0.007834674528
46	0.007805952375
47	0.007562131569
48	0.007406844929
49	0.007391604994
50	0.007248184199
51	0.006997277832
52	0.006865828573
53	0.006830963894
54	0.006722348362
55	0.006660849718
56	0.006546867563
57	0.006488678833
58	0.006361811498
59	0.006343359702
60	0.006276268481
61	0.00618327086
62	0.006171395153
63	0.006110857095
64	0.006015168007
65	0.005979439402
66	0.005908949173
67	0.00570004908
68	0.005642541256
69	0.005599809305
70	0.005592562388
71	0.005394686573
72	0.005394811227
73	0.005255241055
74	0.005201821135
75	0.005146196369
76	0.005143548384
77	0.005104858673
78	0.005044943421
79	0.004968521565
80	0.00488911388
81	0.004845771116
82	0.004845847957
83	0.004845674348
84	0.004810222203
85	0.00479065659
86	0.004790708526
87	0.004754263893
88	0.004710033268
89	0.004620356072
90	0.004620329607
91	0.004596841318
92	0.004596970387
93	0.004530867462
94	0.004456125241
95	0.004371106204
96	0.004371187817
97	0.004317395782
98	0.004218300725
99	0.004091289583
100	0.004055855142
101	0.004018575372
102	0.004002667112
103	0.003955180931
104	0.003950984718
105	0.003857042064
106	0.003814854151
107	0.003814846199
108	0.003738894611
109	0.00369543472
110	0.003648075308
111	0.00359882608
112	0.003545593002
113	0.003532448218
114	0.003508498201
115	0.003487151393
116	0.003447204316
117	0.003431333898
118	0.00340892006
119	0.003402044297
120	0.003390783913
121	0.003386715161
122	0.003380644074
123	0.003326234349
124	0.003314514646
125	0.003280444262
126	0.003262923656
127	0.00325505611
128	0.003248152703
129	0.00324809995
130	0.003217943485
131	0.003208169148
132	0.003158721884
133	0.003095336881
134	0.003019133693
135	0.002978453564
136	0.002978516783
137	0.002978513324
138	0.002949901174
139	0.002933979964
