Model,Accuracy,Precision,Recall,F1 Score,AUC
Catboost,0.9994367590290275,0.9996361368125585,0.9989437961007029,0.9992898465375688,0.9993523516435748
Lightgbm,0.999896968115066,0.9999134184141717,0.9998268518197874,0.9998701332432924,0.9998849624797087
Extratrees,0.9998694929457502,0.9999134124166594,0.9997575925477024,0.9998354964112244,0.9998503328436661
Gradientboosting,0.9985575536109241,0.9992538608363699,0.9971084253904492,0.9981799902932815,0.9983094271956345
Randomforest,0.9998763617380793,0.9998787878787879,0.9998095370017661,0.9998441612411691,0.9998649196986242
Isolation Forest,0.611906364622972,0.5430377138146596,0.13687363645808082,0.2186389346019278,0.5305690707110516
Autoencoder,0.9587322956877722,0.927440938377664,0.9720192540776397,0.9492069933380677,0.9610073499644051
